,P14,P5,P4,P1,P12,BLS1,BLS3,P17,P10,P18,P6,P15,BLS0,P11,P8,BLS2,BLS5,Period,BLS16,P0,BLS10,P3,BLS6,BLS11,BLS25,BLS26,BLS29,BLS4,BLS14,P13,Y,IDs
684,11.0,0.028,0.01688,5.23359,11.0,-0.279103274805,-0.626336985208,0.00177,-739.55759,31.72044,0.12642,10.0,1.32057725702,1.0,0.58729,0.0814869145969,1.37175644708,7.96059466,-0.354864311106,4.80747021762,-0.0210922607128,3.80021,-0.102533521236,-0.449281367149,-0.26083353821,-0.395688765631,0.322894352521,-0.467346835409,-1.16179270097,1.0,1.0,1684
559,8.0,0.01435,0.01297,5.60768,8.0,-1.19026721236,-1.78580774507,0.00275,-2019.43208,12.253,0.02605,8.0,-1.44037769867,0.36167,0.23961,-0.862719855334,0.388147386449,2.90094971,2.70677597003,0.736732331887,-1.39118811197,5.40886,-0.393560706305,1.92604119507,0.0189339841355,0.807128339137,0.327269522862,0.595172346947,-0.921642591107,4.0,1.0,1559
629,23.0,0.05325,0.01786,6.10711,24.0,-1.19922833984,0.534108974012,0.00172,-2522.65488,50.75688,0.3524,22.0,0.196805251471,0.35051,0.69205,2.06840439917,0.618082352313,2.99141828,0.153094271787,2.17070805359,0.73737555005,5.47995,-1.11320722742,-0.726609786912,0.229622042448,-0.197939233659,-0.926111560319,0.543041564265,-0.0887088847332,3.0,1.0,1629
192,40.0,0.0553,0.00933,2.79452,38.0,-0.061856790104,-0.518753856567,0.00229,-2214850.42363,9.22637,0.20325,40.0,0.582126139823,0.99915,0.20962,0.435420597084,-0.858723924194,7.35766907,0.110142702597,1.76659321015,0.0273517841246,2.79452,-0.387687768305,0.0668678844247,-0.30289056848,-0.93476454353,0.272111064106,-0.876355228432,0.214280023685,2.0,1.0,1192
835,18.0,0.03578,0.01634,6.63832,19.0,0.529318643013,-0.472106490536,0.00578,-140.38274,12.3305,-0.02146,18.0,0.364030666917,0.60653,0.54715,0.0170203908034,0.672739864417,5.25156564,-0.474067308773,2.98818158135,-0.430262689179,6.26078,-0.040581517269,1.13862872282,-0.451786416916,-0.699207422413,0.0188571552089,-1.59404401853,-0.000937638518949,2.0,1.0,1835
763,10.0,0.02006,0.01631,5.74346,9.0,1.98995466043,-0.330078071743,0.00466,-133.18153,9.87766,0.12116,11.0,-0.275745608931,0.39497,0.14488,0.616521095809,-0.0466411255274,3.38715578,1.42902588869,0.545525163524,-0.916108006411,5.62884,0.0917369509679,-0.275201037378,1.64830521854,-0.983111721201,0.799174874608,0.309616984972,0.31792202657,3.0,1.0,1763
707,5.0,0.00998,0.01944,5.41213,5.0,-1.09677881639,-0.987987133439,0.0038,-196.2578,11.45568,0.2146,5.0,-1.33905966325,0.2892,0.11511,0.00562020471076,-0.341073317707,0.51094552,0.287243635342,0.0821984419264,2.35418346783,5.46742,1.72131783447,-0.785125737643,-0.152630781143,-0.174880517865,1.67416577454,0.695915343667,0.743734824197,5.0,1.0,1707
359,5.0,0.01055,0.01691,4.7451,6.0,-1.17504450471,-1.61476484069,0.00251,-37401.1458,15.18933,0.32212,6.0,-1.45070567694,0.45207,0.16055,-0.76572600921,-0.40361922136,2.89937264,2.87215494642,0.501613043496,1.61050849985,4.72661,1.29245929934,0.80591724551,1.33268287822,0.562084596514,-2.21317965015,0.226111536634,0.303380545432,4.0,1.0,1359
9,6.0,0.01007,0.01427,4.18901,5.0,-1.23730676054,-1.88942597817,0.00271,-9939694.82625,10.71686,0.12091,6.0,-1.4144383668,0.46304,0.14479,-0.763399632225,-0.164376209681,2.90016096,1.65524687645,0.455344609263,0.879615378566,4.14129,0.95284454545,0.318374080838,1.32130099586,0.160773993062,-1.67407692349,0.345698339928,0.330110300704,4.0,1.0,1009
723,25.0,0.05865,0.02165,6.53049,26.0,-1.13380938709,0.669579255174,0.00303,-533.39552,36.47806,0.51741,24.0,0.177816239322,0.34555,0.41544,1.97810421415,0.241865264265,2.98940619,-0.0648984326389,1.35042541986,0.738905539963,5.85842,-1.02882031132,-0.852456827295,0.693868395463,-0.551646127756,-0.327721710582,0.862505821774,-0.42740726847,3.0,1.0,1723
