Id,Prediction
0,4617289.54461
1,3932323.55501
2,4044105.15994
3,3845490.00044
4,4113112.76998
5,4389393.27055
6,4361197.22904
7,4231792.71425
8,4927873.45349
9,4408559.83765
10,4424442.48883
11,4508362.11031
12,5433472.68614
13,6543980.22677
14,4263041.76022
15,4685834.22688
16,5154570.4254
17,4184352.58636
18,5439687.19165
19,4164066.00077
20,3978600.8489
21,4945389.32136
22,4785112.53654
23,5149792.84244
24,4973696.4149
25,3901554.70154
26,3821553.3855
27,4581599.82772
28,4268971.23615
29,4801478.00395
30,4983806.97903
31,3856765.89436
32,4070942.48028
33,4791040.28497
34,4035663.79114
35,4341641.02777
36,4402783.12821
37,4588637.95763
38,3647413.27331
39,4409805.82867
40,4612835.40364
41,4413847.29106
42,4639757.7982
43,4757578.60958
44,5235562.51143
45,4162529.25517
46,3863991.83361
47,3615511.07822
48,4572549.92052
49,4497089.08926
50,4846506.05994
51,4424125.66289
52,4668513.56335
53,3886862.05633
54,3948545.44578
55,4352487.5187
56,4680437.65698
57,4693489.10472
58,4810159.66507
59,4955559.15297
60,4063443.43013
61,4439337.65446
62,4401996.43284
63,4029896.30759
64,4678904.4635
65,5882388.74252
66,4608363.51662
67,5698294.17604
68,4743990.90018
69,4327948.92348
70,4366388.35569
71,4197376.97543
72,4357657.52888
73,4999497.17265
74,5557055.47056
75,4526658.87356
76,4672226.72039
77,4123467.26748
78,4499427.77177
79,4217326.07761
80,5112729.5358
81,4435019.40977
82,4505517.17563
83,4584416.84238
84,5987860.74841
85,3253393.27637
86,4779284.30096
87,4733441.89523
88,4721434.48477
89,4175783.41827
90,5179818.45678
91,4751588.32058
92,3840678.41776
93,4643886.75493
94,4965971.43703
95,4455316.10537
96,4351621.9031
97,4449718.13159
98,4648391.32896
99,4933430.06474
100,4942608.97712
101,3588789.75637
102,4335227.66834
103,4150026.92634
104,4350414.24448
105,3906124.90528
106,5060237.29088
107,4866258.73208
108,5041871.97963
109,4709990.50695
110,4884103.31089
111,4822268.35237
112,4751187.92296
113,4269807.39943
114,4569699.49746
115,4579359.39451
116,3901807.5037
117,4959534.3642
118,3961014.90026
119,4989280.48391
120,4732157.15527
121,4815343.95665
122,4509827.69085
123,5205316.84643
124,4033358.8676
125,4295123.25188
126,5243143.4626
127,4163701.83922
128,4639741.85562
129,4347392.92493
130,3823276.53459
131,4641850.11886
132,5256134.6029
133,4109070.79798
134,4430722.36868
135,4125306.87353
136,4330631.87022
137,4257815.9237
138,4845434.11747
139,4396353.30485
140,5306717.54216
141,3809377.73769
142,5217938.89883
143,4071696.67468
144,4528597.96451
145,3991836.49658
146,4397937.44905
147,3881263.83086
148,4766189.78431
149,4607720.29809
150,4221678.69006
151,3917099.26467
152,5106369.52877
153,5679618.5034
154,4378398.91882
155,4809124.73701
156,4930326.46429
157,4879376.96307
158,4209366.79529
159,4185703.76558
160,4038938.47299
161,4744681.73108
162,4351551.62475
163,5368184.25297
164,5886438.07857
165,4108776.50947
166,4494993.89633
167,4229216.00158
