,BLS_Period_1_0,BLS_Tc_1_0,BLS_SN_1_0,BLS_SR_1_0,BLS_SDE_1_0,BLS_Depth_1_0,BLS_Qtran_1_0,BLS_Qingress_1_0,BLS_OOTmag_1_0,BLS_i1_1_0,BLS_i2_1_0,BLS_deltaChi2_1_0,BLS_fraconenight_1_0,BLS_Npointsintransit_1_0,BLS_Ntransits_1_0,BLS_Npointsbeforetransit_1_0,BLS_Npointsaftertransit_1_0,BLS_Rednoise_1_0,BLS_Whitenoise_1_0,BLS_SignaltoPinknoise_1_0,Ids,Depth,Catalog_Period,Catalog_Epoch,SNR,CatalogY,ManuleY,CombinedY,P0,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,P13,P14,P15,P16,P17,P18,P19
541,5.57578968,2457831.04926,2.49988,0.00688,2.49988,0.04479,0.03663,0.29572,7.81531,0.70417,0.7408,-185.70846,0.99805,19.0,2.0,20.0,20.0,0.00383,0.00766,13.867,542,0.335406111296,15.3980232661,4.15100973935,474.335871498,1.0,0.0,1,0.249995259513,0.0272738479908,0.0231451373466,-0.137022849478,-0.111556512691,-0.681600656387,-0.346185253568,-0.564258834204,-0.0924996090923,-0.356993873033,0.853029307304,-0.502221711523,2.03315672763,-0.4278486269,-0.201049394408,0.60479937691,-1.04085922068,-1.39036625596,0.963165657021,1.42634305101
604,2.16449809,2457827.51689,4.39096,0.00347,4.64008,0.05524,0.01054,0.26842,8.71228,0.22391,0.23445,-28.23808,0.41,6.0,5.0,6.0,6.0,0.0,0.01232,10.97904,605,0.0,-1.0,0.0,0.0,0.0,1.0,1,0.909595524723,0.0421665095412,-0.0530429890308,0.0365625155815,0.226087393909,-0.00786954216908,0.233471768867,0.190187748007,0.0286722775162,-0.467552657293,-0.0114904286598,0.540225617433,0.294591984944,0.740869822855,0.969651564727,-0.686809147856,-0.824079322189,-1.4930969815,-0.617571638708,-0.566956710849
702,7.99049122,2457833.39999,3.29002,0.00713,3.20909,0.10175,0.01909,0.45928,9.03029,0.7888,0.80789,-176.90254,1.0,7.0,1.0,7.0,8.0,0.0,0.00839,32.06993,703,0.1205,7.51515,2545971.08,120.5,1.0,0.0,1,1.14411659162,0.271804968789,-0.321699646056,0.161871901138,-0.407507919776,-0.0732661128531,-0.478340971679,-0.502049095832,-0.0501012120128,0.376792933366,-0.483887880022,-0.777635020541,1.04804274237,0.218374339237,-0.170316600843,0.234638962518,-0.336405900454,0.949674864365,0.705726676252,0.543288116456
877,1.01049536,2457827.58974,6.85637,0.0201,4.92262,0.07588,0.13405,0.27883,7.10606,0.49597,0.63002,-353.58304,0.11346,65.0,10.0,65.0,65.0,0.00137,0.00438,109.17561,878,0.1571,1.00968,2545964.58,496.793820412,1.0,0.0,1,-0.267649444221,0.0710428073365,-0.00771160841153,0.0411921467817,-0.200866708216,0.23694412439,-0.0384149665404,-0.303264233071,-1.28445840287,1.08661371472,0.51473986214,-0.103454708701,0.899372398733,0.605864476782,2.00845054418,-2.14065069592,-0.488248210171,1.37311534337,-3.61683064113,1.2944846533
921,8.0,2457830.05273,3.5615,0.0039,3.49625,0.05504,0.01635,0.41483,7.20857,0.37081,0.38716,-184.19155,1.0,6.0,1.0,6.0,6.0,0.0,0.004,33.67623,922,0.07134,13.1748,2545969.463,71.34,1.0,0.0,1,-0.197311573156,0.088036882147,-0.0124838085198,-0.0812026156062,-0.0733404018807,0.0256765339898,-0.219128480496,-0.31234565146,-0.124813385107,-0.310085411291,-0.685682723128,-0.0959998825187,0.479222264942,-0.0204138003366,-0.0153767556013,-0.324385173919,0.323542623375,-0.684902992876,0.123182423697,-0.162181216779
1077,4.2032502,2457829.90981,5.30032,0.00983,4.86915,0.06463,0.0463,0.28401,8.9688,0.66417,0.71047,-197.79488,0.52406,20.0,2.0,18.0,18.0,0.00109,0.01094,25.18877,1078,0.109,4.18227,2545967.079,154.149278299,1.0,0.0,1,1.09949365772,-0.169979816022,0.00532729947301,-0.199404798447,-0.479632659426,-0.320112205453,0.0222882214627,0.458305022003,0.592499102793,1.38553299035,-1.49313013742,0.222108218839,2.70354664367,-0.306086634849,-0.162383377981,-0.16415007047,0.870271940746,0.0481539204435,-0.239368429233,-0.447999488796
1296,7.22196945,2457830.73628,3.64577,0.00341,3.29766,0.04116,0.02656,0.44827,7.10666,0.50118,0.52775,-153.49273,1.0,9.0,1.0,9.0,10.0,0.00073,0.00209,40.87313,1297,0.0607,23.7999,2545985.565,60.7,1.0,0.0,1,-0.27235752417,0.0263718921607,0.0171798266389,0.172231436971,0.110109759066,-0.163941457808,0.018200773394,-0.329998001063,-0.0201596511966,0.048727102566,-0.00748564367712,-0.306819689195,-0.142391624131,-0.116822941938,0.196001814206,0.253724449213,0.0522253200105,-0.388256238607,0.527300603262,0.0822257725962
1346,1.37565344,2457827.77201,5.64428,0.02103,4.34135,0.07928,0.11148,0.17665,6.03312,0.49031,0.60179,-410.73769,0.14898,49.0,7.0,49.0,56.0,0.00079,0.00561,92.72263,1347,0.1563,1.37424,2545964.664,413.530929919,1.0,0.0,1,-1.05783450773,0.0143455130234,0.202124798878,0.238468724827,-0.024533798879,0.0868719512688,-0.0884891525351,0.110303413559,0.226899139123,0.153420468671,0.998206665677,-0.608511781015,-0.213115811422,1.40481047599,5.66659970598,-0.439626732784,-3.40553047011,4.61059588667,-2.40809822038,-9.4196685156
1460,1.27182716,2457827.25883,3.23959,0.00083,3.57085,0.00949,0.01736,0.23882,8.24443,0.17845,0.19581,-14.32895,0.34785,10.0,8.0,9.0,9.0,0.00019,0.00407,7.36658,1461,0.007243,10.8824,2545969.493,20.4862976645,1.0,0.0,1,0.564981953241,0.0400864545982,-0.057622346787,0.0582069988198,-0.020824197579,-0.120384099428,0.067077653861,0.0243797438097,-0.144869841134,0.249401408987,-0.106211065469,-0.276966050207,0.0134605116221,-0.102417252044,-0.342400314952,-0.000837429764197,-0.144587933236,-0.165271255063,0.104593659444,-0.0275071758627
1556,7.96431949,2457831.58855,2.91877,0.00881,2.91877,0.09456,0.03182,0.45804,7.02035,0.55761,0.58943,-348.85882,0.99704,12.0,1.0,12.0,12.0,0.00143,0.00243,59.45994,1557,0.2341,6.62761,2545965.547,234.1,1.0,0.0,1,-0.335251143192,0.044576161968,0.0587506206033,-0.145322253754,0.719377482952,0.457563671329,-0.0860009296828,0.127096107681,-0.607165521545,0.0844287277928,1.37574337965,-0.0631709109921,-0.0714106924734,0.196512169283,0.593049444433,0.282897117721,-0.240483861398,0.149598289208,0.187321537576,0.365319082462
1585,7.96765101,2457829.234,3.97105,0.00338,3.97712,0.03987,0.0146,0.24124,6.98295,0.27047,0.28507,-92.31318,1.0,6.0,1.0,6.0,5.0,0.00032,0.0044,21.84683,1586,0.1764,13.7825,2545968.325,176.4,1.0,0.0,1,-0.363478222758,0.0035561017968,-0.0788855611741,-0.178214915487,-0.179264137776,0.00429258444344,0.25061797834,0.101407055844,0.376943200745,-0.0861909844802,-0.238750140003,-0.0416631204462,-0.100878693803,0.175857747673,0.335165475871,-0.554156171028,0.013229079769,-0.0111018696261,0.23367003802,-0.428816638675
1676,2.02569108,2457827.82808,5.95898,0.0052,4.86237,0.02145,0.08479,0.17872,8.0793,0.35611,0.4409,-237.41006,0.23943,41.0,5.0,41.0,42.0,0.00011,0.004,34.19792,1677,0.04174,2.02558,2545964.865,93.3334773808,1.0,0.0,1,0.444479809133,0.0469092767926,0.036235910596,0.0349228010877,0.0443301863815,0.0960147574719,-0.141129278239,-0.195999508617,-0.174129409484,0.0470854979971,-0.0580159540121,0.148810721214,0.242672130881,0.524788638221,0.0616090295271,-0.13258442819,-0.216732430072,0.281845448012,-0.672635154519,-1.004209161
1856,2.99216792,2457827.75728,6.2467,0.00091,6.55319,0.00579,0.02982,0.12182,7.23592,0.23121,0.26103,-18.31806,0.34763,17.0,4.0,18.0,17.0,0.00026,0.00256,9.12854,1857,0.0,-1.0,0.0,0.0,0.0,1.0,1,-0.177384325179,0.0175118374527,-0.0139848483243,0.0637154706627,-0.0209451322374,-0.0842295201435,0.0153420866739,-0.00786648488238,0.0617559575652,0.089479135126,0.0963318124077,-0.128958650282,-0.0966239644639,0.0132432558328,0.00822860374659,0.127827078556,-0.0286391309662,0.165473134196,-0.0316873438949,0.150333046719
